Date tweeted,username,display_name,Tweets,Number_of_Likes,Number_retweets,Source_of_Tweet,number_of_followers,location
2023-01-01 00:54:30+00:00,nnanna152,Nnanna Odoh Jnr.,"@NuhuRibadu @officialABAT Same prayer you have been praying for over three decades, you and your corrupt useless lots brought this Nation this way. Keep praying! Steal from behind. Ewu!",0,0,Twitter for iPhone,46,United States of America 
2023-01-01 00:54:27+00:00,Uncommon_Chike,Human❤😊,"@YarKafanchan Tinubu went to West and said it time of the Yoruba.
Atiku went to the north and told them they need a northern president!
Just saw a video of Obi in Anambra yesterday telling them in Igbo abt the vast fertile land in Niger state that can feed the country 🥺🥺",1,0,Twitter for iPhone,102,Sweden 
2023-01-01 00:54:19+00:00,IfeanyiUzor20,Ifeanyi Uzor,"@vicoxtar @AderonkeW @ShofizLadan01 Even of Tinubu was healthy, he will never be president.",0,0,Twitter for Android,154,"Enugu, Nigeria"
2023-01-01 00:54:02+00:00,dayus85,Dayo Emmanuel Ofere,@NuhuRibadu @officialABAT Hope kii you there.,0,0,Twitter for iPhone,104,London
2023-01-01 00:53:47+00:00,anyasodorwells,Alswell Wellington,@xdatruthx @Dannysacrosanct @ayemojubar @miraclmichael92 It won't take Tinubu two days..to implement this nation wide...once he becomes President..Una never see Shege....,0,0,Twitter for Android,66,"Abuja, Nigeria"
2023-01-01 00:53:43+00:00,KasimJidda,Kasim jidda,Imaging tinubu as your president talking rubbish on national television bala bulubahala.,0,0,Twitter for Android,133,Nigeria
2023-01-01 00:53:41+00:00,dfredbiz,Dfredbiz,@kpokpota @Topboychriss 😆 🤣 😂 😹 Tinubu is not even in the equation ...He will never rule Nigeria.He is been deceived by people around him.,0,0,Twitter for Android,1,
2023-01-01 00:53:23+00:00,bouncenationke,Mega Bounce Nation,"I Have Never Seen Someone Who Loves Northerners Like Tinubu, Our Votes Are Going To Him- Ganduje https://t.co/crFMkBCTBc",0,0,Jetpack.com,1997,"Nairobi, Kenya"
2023-01-01 00:53:10+00:00,abroadscholars,Abroadscholarship,"I Have Never Seen Someone Who Loves Northerners Like Tinubu, Our Votes Are Going To Him- Ganduje https://t.co/LezUerRJCa",0,0,Jetpack.com,12,Nigeria
2023-01-01 00:53:07+00:00,handxtend,Narrow Escape,@officialABAT Just dey play. Dey play oo. Just dey play 🤡,0,0,Twitter for Android,940,
2023-01-01 00:53:01+00:00,odysseybeth,El Padrino Magico,@akinalabi @officialABAT Babash,0,0,Twitter for Android,36,"Athens, Greece"
2023-01-01 00:52:47+00:00,cooldejay,⚓️ OmoOodua⚓,"Lawan, Gbajabiamila, Atiku, Tinubu, govs, others preach patriotism https://t.co/y1cj8zilqd",0,0,Jetpack.com,160,"Osun, Nigeria"
2023-01-01 00:52:46+00:00,OsunDaily_NG,OsunDailyNg,"Lawan, Gbajabiamila, Atiku, Tinubu, govs, others preach patriotism https://t.co/vOpJCRDH2e",0,0,Jetpack.com,1,"Osun, Nigeria"
2023-01-01 00:52:35+00:00,nytade,Níyì B. Akintade Esq.,"@YarKafanchan Unfortunately, he would come a distant 3rd. Monsieur Tinubu comes first, Atiku 2nd.",0,0,Twitter for Android,454,Isikan
2023-01-01 00:52:17+00:00,Akatakpolikpo,Akatakpolikpo,@fkeyamo 2. that your Buhari's APC has done. I even want Tinubu to win so that Nigeria will implode and disintegrate on her own which is the prayers of IPOB and Yoruba-Nation agitators.,0,0,Twitter Web App,10,
2023-01-01 00:50:29+00:00,iamozeylaa,🎹🎷I Am OZEYLAA🎧🎤,"@DeeOneAyekooto Every time you will be surrounding him and stopping him from falling and you want @officialABAT to climb the stairs of Asap Rock.
Deh play na https://t.co/UoUG5NTgUL",1,0,Twitter for Android,1325,Africa!
2023-01-01 00:50:19+00:00,Adewoleomoluabi,Adewole Omoluabi,@Babatunde_Mac Asíwájú Bólá Ahmed Tinubu,0,0,Twitter for Android,284,
2023-01-01 00:50:18+00:00,IbrahimAdeyanju,"Adéyanjú, ابرهيم (PhD), Prof, FNYA",@AjidBabakura @woye1 @Boss_Alkali @dayoisrael @officialABAT @Makuachukwu4Ada @Progressive4BAT @TheresaTekenah @StillYoursADD @ABATMediaCentre @SadeeqKurbe Aameen,0,0,Twitter for Android,757,Nigeria
2023-01-01 00:50:08+00:00,NathanielGNA,Comrade Gbenga,@officialABAT @oluremitinubu @femigbaja @jidesanwoolu @drobafemihamzat @mudashiru_obasa @DrIdiatAdebule @MObanikoro @APCchairman @WasiuEshilokun @valburaimoh14 @dareswagg @tunderahmanu @ekometa @gboyegaakosile @Mr_JAGs @NathanielGNA @PrinceLanreSan1 @taiwoadewole https://t.co/erkScpRk4O,0,0,Twitter for Android,496,
2023-01-01 00:49:56+00:00,omobaqatar,Omoba23,@BolatitoToheeb I will make it under Tinubu's government,0,0,Twitter for Android,274,
2023-01-01 00:49:44+00:00,AkiimReid1,Akiim Reid Ado,@teguando1 @MBuhari @officialABAT Don't let this portrait deceive you o. Man doesn't look this young at all 🤣🤣,0,0,Twitter for Android,65,
2023-01-01 00:49:37+00:00,2unde_73593,Yusuf Abdulrahman🔴🇳🇬,@woye1 Amen and In Sha Allah Bola Ahmad Tinubu will be Nigeria next President,0,0,Twitter for Android,204,Nigeria
2023-01-01 00:49:32+00:00,UkachukuSamuel,Mr Sam,"@youkayeff @Makavelli275 I guess this was why Osibanjo finished a distant third. Their plan was to elect either Tinubu or Amaechi. Because if Osibanjo should grab that ticket, he would have been a formidable candidate 🤔",0,0,Twitter for Android,90,"University of Africa, Toruorua"
2023-01-01 00:48:44+00:00,NathanielGNA,Comrade Gbenga,@officialABAT @oluremitinubu @femigbaja @jidesanwoolu @drobafemihamzat @mudashiru_obasa @DrIdiatAdebule @MObanikoro @APCchairman @WasiuEshilokun @valburaimoh14 @dareswagg @tunderahmanu @ekometa @gboyegaakosile @Mr_JAGs @NathanielGNA @PrinceLanreSan1 https://t.co/jVfKYlqIfL,0,0,Twitter for Android,496,
2023-01-01 00:48:41+00:00,cooldejay,⚓️ OmoOodua⚓,"Tinubu off to S’Arabia, denies meeting G-5 governors https://t.co/0q9gFIm6CK",0,0,Jetpack.com,160,"Osun, Nigeria"
2023-01-01 00:48:40+00:00,OsunDaily_NG,OsunDailyNg,"Tinubu off to S’Arabia, denies meeting G-5 governors https://t.co/KU2iDwtllo",0,0,Jetpack.com,1,"Osun, Nigeria"
2023-01-01 00:48:36+00:00,NaijaXtra,Adamu Sultan of PeterObi,@yinkaisola14 @woye1 Ode.. is Tinubu from Lagos?,0,0,Twitter for Android,98,"Katsina, Nigeria"
2023-01-01 00:48:35+00:00,iamozeylaa,🎹🎷I Am OZEYLAA🎧🎤,"@DeeOneAyekooto Why are you guys always standing by his side and holding @officialABAT from falling?

Is that how you want to continue holding him too if he were to be your president?

Failed on arrival.

2023 is @PeterObi turn.
Know this and rest",0,0,Twitter for Android,1325,Africa!
2023-01-01 00:48:03+00:00,ESukanebari,Ekosman Sukanebari,"Welcome To Year 2023
I don't want any problems in this year, if you lost election at any level and you suspected any foul play, just go to court 
@officialABAT is the next president of Nigeria after @MBuhari",0,0,Twitter for Android,59,"Port Harcourt, Nigeria"
2023-01-01 00:47:57+00:00,unityHQ1,solidarity,"What happened to your head? Oh! I see! Your brains have been bought by Tinubu. Oga, dem don use ur brains for rituals o! At least u get to enjoy the money u got for a while. Sorry. https://t.co/5iUZZNQeAA https://t.co/smB5aneB1P",0,0,Twitter for iPhone,644,
2023-01-01 00:47:25+00:00,AlfredJ07312706,Alfred James,@vanguardngrnews I really don’t know how they think though but come to think of it why is it not soaring higher under President buhari why Tinubu? Presidency should tell us what we don’t know,0,0,Twitter for iPhone,4,
2023-01-01 00:46:40+00:00,Awesomebuchi,Abuchi Okaro,"If you are dragging Tinubu day &amp; night and non of your tweets indicates you are for Obi, you do not fall under the category of undecided voters.",0,0,Twitter for Android,293,"Lagos, Nigeria"
2023-01-01 00:46:19+00:00,odysseybeth,El Padrino Magico,@Sirodue1 @fkeyamo @GovWike Wetin concern tinubu and this your video,0,0,Twitter for Android,36,"Athens, Greece"
2023-01-01 00:45:56+00:00,divaliciousjay,divalicious jay,@Sterrobiz @festiveplug @Qdpaper2 Is Tinubu from Lagos?,0,0,Twitter Web App,1195,
2023-01-01 00:45:29+00:00,iam_emenicki,emeka francis,"@Skiibii come this side first make we talk Because on how I win this giveaway I fit slap tinubu 😫😫 God Make me self win giveaway for the first time in my life let me see how it always sweet body 
1021199253
Vbank",0,0,Twitter for Android,73,"Lagos, Nigeria"
2023-01-01 00:44:46+00:00,Qdpaper2,Qudus Akanbi Eleyi Of Lagos.,Happy new year from Tinubu's Lagos. https://t.co/wlijLMXgDO,20,1,Twitter for iPhone,15951,"Lagos, Nigeria"
2023-01-01 00:43:43+00:00,OyenikeShukrat,MLLE:- Is busting my head💜💜💜🦅❤️‍🔥,@topchartsafrica @Symply_Tacha @seunokin @_Timini @officialABAT Opppppr fun Omo mi tacha ❤️💖@Symply_Tacha,0,0,Twitter for iPhone,22,"Lagos, Nigeria"
2023-01-01 00:43:15+00:00,heishoe,A terrible person,@Mbahdeyforyou Tinubu must not enter. Like and retweet if you believe this,1,0,Twitter for iPhone,1378,
2023-01-01 00:42:53+00:00,BolaMurtala,Tmoney,"May Bola Ahmed Tinubu Succeed come February 2023.

Happy NEW YEAR🤲🙏",0,0,Twitter for Android,825,"Lagos,Nigeria"
2023-01-01 00:42:39+00:00,Awesomebuchi,Abuchi Okaro,"There are people here on Twitter who drag Tinubu day &amp; night, but never make any posts in support of @PeterObi. I am not saying they should support @PeterObi, but they should support @atiku with their full chest. Why are not proud of openly supporting their candidates?",0,0,Twitter for Android,293,"Lagos, Nigeria"
2023-01-01 00:42:37+00:00,Emmanuelugbeh1,Emmanuel O,Governor Seyi Makinde indirectly campaigned for Tinubu today in my church. I felt dissapointed sha. But i still love him and pray he wins his 2nd tenure,1,0,Twitter Web App,1328,"Lagos,Nigeria"
2023-01-01 00:42:24+00:00,BashorunKunle,BKS,"@HelenNDestiny1 @adeyanjudeji But Tinubu, Atiku, or Obi will love to see them in his camp?",0,0,Twitter for Android,569,Nigeria
2023-01-01 00:41:41+00:00,Rasheedfreedom,ogundiran  adegoke,@THISDAYLIVE It is tinubu time,0,0,Twitter for Android,39,
2023-01-01 00:40:05+00:00,abubakaridrisba,abubakar idris bako,Our next president is wishing happy new year 🎆🎈🎊 to you all @OfficialAPCNg @APCUKingdom @officialABAT https://t.co/ELLpXZiwTf,0,0,Twitter for iPhone,364,Abuja
2023-01-01 00:39:45+00:00,Rega09831412,Rega,@Angela201045315 It’s very clear obi is working for Tinubu,1,1,Twitter for iPhone,403,
2023-01-01 00:39:42+00:00,AsmahT1,SALT ❤️,@NuhuRibadu @officialABAT Ameen ya rabbil alameen.. Happy new year to u sir..,2,0,Twitter for Android,891,Nigeria
2023-01-01 00:39:19+00:00,Ayanleke16,Arakunrin,"@Adebayor18 @officialABAT @PeterObi @KwankwasoRM @tosino52 Peter Obi visited churches for votes, Tinubu visits the holy ground to seek the face of God",0,0,Twitter for Android,76,
2023-01-01 00:38:55+00:00,Osa19731003,"Osa, CEO O'Regi Dynasty LLC, USA",@musa_jamus @officialABAT Your president! You people have no shame...of all the candidates you chose the one with Parkinson's and a bed wetter...una mumu na gear 5!,0,0,Twitter for iPhone,77,"Georgia, USA"
2023-01-01 00:38:52+00:00,danasabemuham13,danasabe muhammad,@officialABAT Jagaba,0,0,Twitter for Android,3,
2023-01-01 00:38:15+00:00,IfeanyiUzor20,Ifeanyi Uzor,"@EduoraObinna @AderonkeW In fact, if Tinubu wins, make una burn me alive.",0,0,Twitter for Android,154,"Enugu, Nigeria"
2023-01-01 00:38:14+00:00,Vichen55573251,Duke of Ekimogun,@AderonkeW And tinubu will vote ATIKU,0,0,Twitter for Android,41,Ondo
2023-01-01 00:38:05+00:00,Jaydon225,Jaydon | #YorubasForPeterObi,"@MissPearls Tinubu CANNOT get this kind of reception in any church in Nigeria, not even in his darling Lagos state.",2,0,Twitter for Android,6772,"Lagos, Nigeria"
2023-01-01 00:37:38+00:00,Ennydo1,ennydo,As from today Asiwjau Bola Ahmed Tinubu is your president,6,1,Twitter for iPhone,1943,"Abuja, Nigeria"
2023-01-01 00:36:59+00:00,James34483814,James,@kpokpota @Topboychriss So you want them to support tinubu then agree to there self intrest they will never support obi because obi no go gree with there selfish intrest,0,0,Twitter for iPhone,23,
2023-01-01 00:36:06+00:00,AderibigbePete6,Aderibigbe Peter,"Let him rename you Obi, it's Tinubu O clock, so go and resume in your other room https://t.co/eFO0tQoQeJ",0,0,Twitter for Android,15,
2023-01-01 00:35:51+00:00,fernante_mote,....,"As EFCC chairman, this guy called Bola Tinubu one of the most corrupt men ever in our Country's history. Today, look at him.  What changed? https://t.co/B6H60u2MpH",0,0,Twitter Web App,2175,
2023-01-01 00:35:44+00:00,MooreHills2,Mahmood,"You wanna claim you don't know why people are eager to read him?

Some of us searches him to see if we can connect his background.

Like, who exactly is Tinubu? https://t.co/CjeJv3YXyG",0,0,Twitter for Android,68,
2023-01-01 00:35:42+00:00,offor2000,J4,This is @officialABAT convoy from last year.  We all know that no one who ever enjoys being this profligate will cut down on govt spending.  You can window dress our situation anyway you like but if we don't cut govt spending we are sunk.  Vote @PeterObi for an equitable society! https://t.co/PK0losBg35,4,0,Twitter for Android,5317,🇬🇧🇳🇬🇹🇿🇧🇴🇷🇴 zion
2023-01-01 00:35:25+00:00,omolayorh,𝕆𝕄𝕆𝕃𝔸𝕐𝕆ℝℍ🙅,@xagreat @officialABAT On behalf of Nigerians both home and abroad it shall not be well with you,0,0,Twitter for iPhone,446,"Texas, USA"
2023-01-01 00:35:17+00:00,drealhorllar,Opeyemi Abiodun,@Usmansyamma Mine is for Tinubu,0,0,Twitter for iPhone,157,"Taraba, Nigeria"
2023-01-01 00:35:01+00:00,ErnestIke8,Comrade Ernesto,"@Korab100 @OMO_9JA_ @Adedayo_2 @EngrJeff231 @presidope @RealTutsi @de_eritage @Olateru3 @HorlaseniiT @AmodaOgunlere @Jidejay_ @woye1 All I see and hear is yada yada yada...no substance, no facts, no verifiable sources. You drove past a bridge daily is your prove that Tinubu built it abi?

Don't respond again until you have real verifiable concrete evidence that Tinubu built that bridge you claim to drive daily",0,0,Twitter for Android,405,"England, United Kingdom"
2023-01-01 00:34:58+00:00,Ayanleke16,Arakunrin,@SureGT You remember when Peter Obi was buying Pepper on the street ? Obi is one of these people so don't even cleanse him up. Only Tinubu has never been caught doing such.,0,0,Twitter for Android,76,
2023-01-01 00:34:45+00:00,princewalll,D W🕊️,"@chubbi22 @Marvy_olu How will your family being under curse pain me...you that will never be happy 😁
Tinubu is your next president",0,0,Twitter for Android,140,
2023-01-01 00:34:40+00:00,ayisat_opeyemi,Opeyemi ayisat,@OgbeniJaykay @fimiletoks @da_tesleem That was when Tinubu did his magic wonders turn it to Eko Atlantic,0,0,Twitter for iPhone,663,
2023-01-01 00:33:49+00:00,HelenNDestiny1,Helen N Destiny,@doyinokupe You see it that you are deceiving Peter Obi and working for Tinubu. As at this your comment have you not noticed Peter Obi? Smh 🤦,0,0,Twitter for iPhone,6,
2023-01-01 00:33:41+00:00,iamYhurmy,OBIdient Yhurmy,"In this new year 2023 Atiku and Tinubu will collapse their structure and vote for PETER OBI.....IJN

AMEN

2022 dump #CrossOverService #CrossOverWithPastorObed  Here we go Wike #christianoronaldo  G5  queen what a year Church God",2,0,Twitter for Android,1370,Lagos
2023-01-01 00:33:35+00:00,welovehadi,Bruce🇦🇷,Give Bola Tinubu second place 🤲🏽Amin https://t.co/Xj5e3zyTlr,0,0,Twitter for iPhone,1544,With a Tropical darling.
2023-01-01 00:33:35+00:00,arinzeve,𝑏𝑎𝑑𝑏𝑜𝑦𝑟𝑖𝑟𝑖 🍁😈,"@fkeyamo A sad man with a sad life

This is what you get when supporting tinubu 😭",0,0,Twitter for Android,5437,
2023-01-01 00:33:15+00:00,myyemi,OMO,Tinubu 2023!,2,0,Twitter for iPhone,1390,"Lagos, Nigeria"
2023-01-01 00:33:10+00:00,Freeman05051,Truth-Serum 🌶🫑,@PeterObiPikin @officialABAT Checking the quality of the product….99.8% pure white!,0,0,Twitter for iPhone,2675,Nigeria
2023-01-01 00:33:04+00:00,muyiwaaj2006,muyiwa Ajayi,"@officialABAT The Almighty God will grant you your heart desire, God's unprecedented grace and favour will speak for you during the presidential election this year.  God will crown you as the president and commander in chief of Nigeria armed forces in Jesus name amen.",0,0,Twitter for Android,25,Nigeria
2023-01-01 00:33:03+00:00,solacebase_ng,solacebase_ng,"Tinubu speaks on reported meeting with G5 governors 

 https://t.co/rW7zu5aw8H",0,0,Twitter for Android,246,"Kano, Nigeria"
2023-01-01 00:32:48+00:00,luwehn,Luwehn JNK,"@NuhuRibadu @officialABAT Please Sir who's the man in the middle? He looks like someone i know but not too sure...
Anyway, since you chose not to mention names, let me also not border you on that... everyone should just dey their dey...

We're taking back our country! 

#justice4mrsBolanleRaheem",0,0,Twitter for Android,70,"Lagos, Nigeria"
2023-01-01 00:32:33+00:00,IfeanyiUzor20,Ifeanyi Uzor,"@AderonkeW There are many reasons why Tinubu should never be allowed to be president:
He's weak, sick, corrupt, a thief, a drug dealer, Muslim-Muslim ticket, greedy, power-hungry, a murderer, a manipulator, a snake oil salesman, arrogant, disrespectful and I can go on.",0,0,Twitter for Android,154,"Enugu, Nigeria"
2023-01-01 00:32:25+00:00,ipinmoroti_r,Rotimi Ipinmoroti,"@duchessmabboud @officialABAT With electricity,  half of our nation's problem is solved",0,0,Twitter for Android,9,
2023-01-01 00:32:12+00:00,dapo_alley,Mufassir,"Happy new year @officialABAT may Allah grant all your heart desires and open your ways, teach you His ways, forgive your shortcomings https://t.co/0pVoSjWGij",0,0,Twitter for iPhone,604,"Lagos, Nigeria"
2023-01-01 00:32:12+00:00,KU_ServusDei,KU,SHAME on APC for mentioning New Nigeria with Tinubu. How can you put new wine in old wine skin? You want to destroy the man?? https://t.co/qHEduhywWD,0,0,Twitter for Android,70,"Port Harcourt, Nigeria"
2023-01-01 00:31:48+00:00,Exceliano89,Stan,"@SogbonLagos @AderonkeW Simple. If there is an electoral position of Elder statesman, I will not only vote for him but will campaign for Tinubu.",0,0,Twitter for Android,99,Port-Harcourt
2023-01-01 00:31:11+00:00,Donbesto02,Peter obi/Datti's Unstoppable movement,"@officialABAT I would have supported you if you were in your 60s but you are already 80s, people around you want to use you. Plus, assist the boy in the below picture. He has worked hard for you, he needs shoes, belts, and clothes.  Step down for Peter Obi and Datti. https://t.co/LuJpjaV75f",0,0,Twitter for iPhone,175,"Lagos, 🇳🇬, USA🇺🇸"
2023-01-01 00:31:03+00:00,offor2000,J4,@AhmadLawaly @officialABAT @SaveVidBot,0,0,Twitter for Android,5317,🇬🇧🇳🇬🇹🇿🇧🇴🇷🇴 zion
2023-01-01 00:30:58+00:00,Tony3ga,Ekpedeme,@Yemihazan 2. Campaigning for Tinubu,0,0,Twitter for Android,1499,Abuja
2023-01-01 00:30:44+00:00,TravellaReyes,"Travella Reyes, PhD","@Odogwu_Nomso I have my vote to waste! I rather die than to vote for atiku or tinubu! If Obi is not on the ballot paper, I will cancel my vote. Nobody rigs with my vote.",0,0,Twitter for Android,64,"Metaverse, Heaven"
2023-01-01 00:30:35+00:00,fino_mb,Fino🌸,I think tinubu is the brand ambassador for corn and boil sellers 😂,0,0,Twitter for iPhone,74,
2023-01-01 00:30:32+00:00,kolaakin,Kola Akinterinwa,Tinubu’s Lagos made….any news from Obi’s ………. https://t.co/MvPfFTGRvI,1,0,Twitter for iPhone,250,Canada
2023-01-01 00:29:53+00:00,Daniel48718618,Daniel,"@fimiletoks If tinubu truly built lagos, why do he
Always go abroad for treatment?",0,0,Twitter for Android,18,
2023-01-01 00:29:45+00:00,FmardB,terese iorlumun,@Usmansyamma Mine is for Tinubu,0,0,Twitter for Android,1177,
2023-01-01 00:29:38+00:00,Clntnnn,SAKATAN OF IMO STATE,Happy New Year @officialABAT......let me start now to congratulate in advance My Excellency 🇳🇬,0,0,Twitter for Android,1556,HQ
